id,domain,domain_description,sql_complexity,sql_complexity_description,sql_task_type,sql_task_type_description,sql_prompt,sql_context,sql,sql_explanation,predicted_sql,context_used
80888,financial services,"Detailed financial data including investment strategies, risk management, fraud detection, customer analytics, and regulatory compliance.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",Show all transactions that were made on a holiday.,"CREATE TABLE transactions (id INT, transaction_date DATE); INSERT INTO transactions (id, transaction_date) VALUES (1, '2022-01-01'), (2, '2022-01-08'), (3, '2022-01-15'), (4, '2022-01-22'), (5, '2022-01-29'), (6, '2022-12-25');","SELECT * FROM transactions WHERE transaction_date IN (DATE('2022-01-01'), DATE('2022-01-17'), DATE('2022-02-21'), DATE('2022-05-30'), DATE('2022-07-04'), DATE('2022-12-25'));","The SQL query selects all rows from the transactions table where the transaction_date is one of the following dates: January 1, January 17, February 21, May 30, July 4, and December 25. These dates correspond to holidays in the United States. This will return all transactions made on a holiday.","```sql
select * 
from transactions 
where transaction_date in (
  date('2022-01-01'), 
  date('2022-01-17'), 
  date('2022-02-21'), 
  date('2022-05-30'), 
  date('2022-07-04'), 
  date('2022-12-25')
);
```","Example 1:
Question: Show all transactions that were made on a holiday.
SQL: SELECT * FROM transactions WHERE transaction_date IN (DATE('2022-01-01'), DATE('2022-01-17'), DATE('2022-02-21'), DATE('2022-05-30'), DATE('2022-07-04'), DATE('2022-12-25'));
Example 2:
Question: Show transactions that were made on a weekend.
SQL: SELECT * FROM transactions WHERE DAYOFWEEK(transaction_date) IN (1, 7);
Example 3:
Question: Show the total price of all items that are made of a particular material and are produced using a particular manufacturing process
SQL: SELECT SUM(price) FROM sales s JOIN processes p ON s.item_id = p.item_id JOIN materials m ON s.item_id = m.item_id WHERE p.process = 'process A' AND m.material = 'cotton';
Example 4:
Question: List all TV shows, along with the number of awards they have won, that are currently streaming on a platform with a subscription cost higher than 9.99 USD, and were released in the last 5 years.
SQL: SELECT TVShows.ShowName, COUNT(Awards.AwardId) AS AwardsWon FROM TVShows LEFT JOIN TVShowStreaming ON TVShows.ShowId = TVShowStreaming.ShowId LEFT JOIN Awards ON TVShows.ShowId = Awards.ShowId LEFT JOIN StreamingPlatforms ON TVShowStreaming.PlatformId = StreamingPlatforms.PlatformId WHERE TVShows.ReleaseYear >= YEAR(CURRENT_DATE) - 5 AND StreamingPlatforms.SubscriptionCost > 9.99 AND TVShowStreaming.EndDate IS NULL GROUP BY TVShows.ShowName;
Example 5:
Question: Show the production volumes for all products made by companies with a focus on ethical manufacturing practices in Europe.
SQL: SELECT product_type, production_volume FROM companies WHERE ethical_manufacturing = TRUE AND country IN ('Germany', 'France', 'Italy');"
83323,philanthropy,"Philanthropy data on effective altruism, impact investing, philanthropic trends, and donor demographics.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights",Find the top 3 countries by total donations.,"CREATE TABLE Donors (DonorID int, Country varchar(50)); INSERT INTO Donors (DonorID, Country) VALUES (1, 'USA'), (2, 'Canada'), (3, 'Mexico'), (4, 'USA'), (5, 'Canada'); CREATE TABLE Donations (DonationID int, DonorID int, Amount decimal(10,2)); INSERT INTO Donations (DonationID, DonorID, Amount) VALUES (1, 1, 500), (2, 1, 750), (3, 2, 300), (4, 2, 800), (5, 3, 900);","SELECT C.Country, SUM(D.Amount) as TotalDonated FROM Donors C INNER JOIN Donations D ON C.DonorID = D.DonorID GROUP BY C.Country ORDER BY TotalDonated DESC LIMIT 3;","This query joins the Donors and Donations table on DonorID, groups the results by country, calculates the total amount donated per country, orders the results in descending order by total donated, and returns the top 3 countries.","```sql
select 
  c.country, 
  sum(d.amount) as totaldonated 
from 
  donors c 
inner join 
  donations d on c.donorid = d.donorid 
group by 
  c.country 
order by 
  totaldonated desc 
limit 3;
```","Example 1:
Question: Find the top 3 countries by total donations.
SQL: SELECT C.Country, SUM(D.Amount) as TotalDonated FROM Donors C INNER JOIN Donations D ON C.DonorID = D.DonorID GROUP BY C.Country ORDER BY TotalDonated DESC LIMIT 3;
Example 2:
Question: Find the top 3 countries with the highest total basketball points scored by players.
SQL: SELECT country_name, SUM(points) as total_points FROM players GROUP BY country_name ORDER BY total_points DESC LIMIT 3;
Example 3:
Question: Find the total investment in climate adaptation for the top 3 countries with the highest investment since 2010, ordered by investment amount?
SQL: SELECT SUM(investment) as total_investment, country FROM climate_adaptation WHERE year >= 2010 GROUP BY country ORDER BY total_investment DESC LIMIT 3;
Example 4:
Question: Find the top 3 countries with the highest total loans for socially responsible lending in Q1 2022, partitioned by month.
SQL: SELECT country, SUM(amount) as total_loans, EXTRACT(MONTH FROM date) as month FROM loans WHERE date >= '2022-01-01' AND date < '2022-04-01' GROUP BY country, month ORDER BY total_loans DESC, month LIMIT 3;
Example 5:
Question: Find the top 3 cities by total concert revenue.
SQL: SELECT city, SUM(revenue) AS total_revenue FROM Concerts GROUP BY city ORDER BY total_revenue DESC LIMIT 3;"
7831,insurance,"Underwriting data, claims processing information, risk assessment models, and policyholder demographics.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",List policy types and their corresponding average claim amounts for policyholders aged 60 and above.,"CREATE TABLE Claims (Policy_Type VARCHAR(20), Policyholder_Age INT, Claim_Amount INT); INSERT INTO Claims (Policy_Type, Policyholder_Age, Claim_Amount) VALUES ('Life', 65, 15000), ('Health', 67, 3000), ('Auto', 62, 5000), ('Life', 60, 20000), ('Health', 63, 4000);","SELECT Policy_Type, AVG(Claim_Amount) FROM Claims WHERE Policyholder_Age >= 60 GROUP BY Policy_Type;",This SQL query lists policy types and their corresponding average claim amounts for policyholders aged 60 and above by grouping the Claims table by policy type and calculating the average claim amount for each policy type where the policyholder age is 60 or above.,"```sql
select 
    policy_type, 
    avg(claim_amount) as average_claim_amount
from 
    claims
where 
    policyholder_age >= 60
group by 
    policy_type;
```","Example 1:
Question: List policy types and their corresponding average claim amounts for policyholders aged 60 and above.
SQL: SELECT Policy_Type, AVG(Claim_Amount) FROM Claims WHERE Policyholder_Age >= 60 GROUP BY Policy_Type;
Example 2:
Question: List all unique policy types and their respective total claim amounts for policyholders living in the 'south' region.
SQL: SELECT policy_type, SUM(claim_amount) FROM policyholders JOIN claims ON policyholders.id = claims.policy_id WHERE policyholders.region = 'south' GROUP BY policy_type;
Example 3:
Question: List all policies with their total claim amounts for policyholders from Texas, grouped by policy type and coverage level.
SQL: SELECT policy_type, coverage_level, SUM(claim_amount) FROM claims JOIN policyholders ON claims.policyholder_id = policyholders.id JOIN policies ON policyholders.policy_type = policies.policy_type WHERE policyholders.state = 'Texas' GROUP BY policy_type, coverage_level;
Example 4:
Question: List the policy numbers and claim amounts for policyholders with car insurance policies, whose claim amounts are above the average claim amount for all car insurance policies.
SQL: SELECT policy_number, claim_amount FROM car_insurance WHERE claim_amount > (SELECT AVG(claim_amount) FROM car_insurance);
Example 5:
Question: What is the total number of policies and their corresponding policy types for policyholders aged 30 or younger?
SQL: SELECT COUNT(*) as TotalPolicies, PolicyType FROM Policyholders WHERE Age <= 30 GROUP BY PolicyType;"
22361,chemicals,"Chemical manufacturing data, safety protocols, environmental impact assessments, and product innovation metrics.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",List the chemical names with their production costs in descending order,"CREATE TABLE chemical_costs (chemical VARCHAR(20), cost FLOAT); INSERT INTO chemical_costs (chemical, cost) VALUES ('Eco-friendly Polymer', 475.50), ('Nano Polymer', 452.12), ('Smart Polymer', 500.00), ('Carbon Nanotube', 650.00), ('Graphene', 700.00), ('Buckyball', 750.00);","SELECT chemical, cost FROM chemical_costs ORDER BY cost DESC;",The SQL query lists the chemical names with their production costs in descending order by ordering the 'cost' column in descending order.,"```sql
select chemical, cost 
from chemical_costs 
order by cost desc;
```","Example 1:
Question: List the chemical names with their production costs in descending order
SQL: SELECT chemical, cost FROM chemical_costs ORDER BY cost DESC;
Example 2:
Question: List all chemical batches with a pH level above 9, produced in the USA since January 2021, along with their production dates.
SQL: SELECT id, pH, production_date FROM ChemicalBatches WHERE pH > 9 AND production_date >= '2021-01-01';
Example 3:
Question: List all autonomous vehicles with their safety ratings in descending order in the 'safety_test' table.
SQL: SELECT vehicle_type, safety_rating FROM safety_test WHERE vehicle_type LIKE '%Autonomous%' ORDER BY safety_rating DESC;
Example 4:
Question: List all the chemical compounds used in the production process at a specific manufacturing plant, along with their quantities and the corresponding production stages.
SQL: SELECT c.name, pc.quantity, p.name AS stage_name FROM chemical_compounds c INNER JOIN plant_chemical_usage pc ON c.id = pc.compound_id INNER JOIN production_stages p ON pc.stage_id = p.id WHERE pc.plant_id = 1;
Example 5:
Question: List all the distinct workout types that were performed by users from the Asia-Pacific region, along with their total calories burned, in descending order of calories burned, for workouts that occurred after January 2022.
SQL: SELECT DISTINCT workout_type, SUM(calories) AS total_calories FROM workout_sessions WHERE region = 'Asia-Pacific' AND joined > '2022-01-01' GROUP BY workout_type ORDER BY total_calories DESC;"
94501,charitable organizations,"Financial data, program impact, donor demographics, and volunteer management.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the average donation amount from donors in California?,"CREATE TABLE donors (id INT, name TEXT, state TEXT, donation_amount DECIMAL); INSERT INTO donors (id, name, state, donation_amount) VALUES (1, 'John Doe', 'California', 150.00), (2, 'Jane Smith', 'Texas', 200.00);",SELECT AVG(donation_amount) FROM donors WHERE state = 'California';,"This SQL query calculates the average donation amount from donors in California by using the AVG function on the donation_amount column, and filtering the data for donors from California using the WHERE clause.","```sql
select avg(donation_amount) 
from donors 
where state = 'california';
```","Example 1:
Question: What is the average donation amount from donors located in California?
SQL: SELECT AVG(DonationAmount) FROM Donors WHERE DonorState = 'CA';
Example 2:
Question: What is the average donation amount from donors in California?
SQL: SELECT AVG(donation_amount) FROM donors WHERE state = 'California';
Example 3:
Question: What is the average donation amount for donors from Germany who made a donation in the last month?
SQL: SELECT AVG(AmountDonated) FROM Donors WHERE Country = 'Germany' AND DonationDate >= DATE_SUB(CURRENT_DATE, INTERVAL 1 MONTH);
Example 4:
Question: What is the average donation amount from donors located in Canada in the past year?
SQL: SELECT AVG(DonationAmount) FROM Donors WHERE DonorName IN (SELECT DonorName FROM Donors WHERE DonationDate >= DATE_SUB(CURRENT_DATE, INTERVAL 1 YEAR) AND Country = 'Canada') AND DonationDate >= DATE_SUB(CURRENT_DATE, INTERVAL 1 YEAR);
Example 5:
Question: What is the average donation amount from donors in the United Kingdom?
SQL: SELECT AVG(Donations.Amount) AS AverageDonation FROM Donors INNER JOIN Donations ON Donors.DonorID = Donations.DonorID WHERE Donors.Country = 'UK';"
81601,mental health,"In-depth data on mental health conditions, treatment approaches, patient outcomes, and public awareness campaigns in mental health.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights","Identify the mental health condition with the highest improvement rate for patients in Oceania, along with the associated treatment approach.","CREATE TABLE improvements (id INT, condition TEXT, approach TEXT, region TEXT, improvement FLOAT); INSERT INTO improvements (id, condition, approach, region, improvement) VALUES (1, 'Depression', 'CBT', 'Oceania', 0.8), (2, 'Anxiety', 'DBT', 'Oceania', 0.7), (3, 'PTSD', 'EMDR', 'Oceania', 0.9), (4, 'Depression', 'Medication', 'Oceania', 0.6);","SELECT condition, approach, MAX(improvement) as max_improvement FROM improvements WHERE region = 'Oceania' GROUP BY condition, approach;","Partition the data by mental health condition and treatment approach in Oceania, then order by improvement in descending order to identify the condition with the highest improvement rate for patients in Oceania.","```sql
select 
    condition, 
    approach, 
    improvement as max_improvement
from 
    improvements 
where 
    region = 'oceania' 
order by 
    improvement desc 
limit 1;
```","Example 1:
Question: Identify the mental health condition with the highest improvement rate for patients in Oceania, along with the associated treatment approach.
SQL: SELECT condition, approach, MAX(improvement) as max_improvement FROM improvements WHERE region = 'Oceania' GROUP BY condition, approach;
Example 2:
Question: Identify the mental health condition with the lowest improvement rate for patients in Africa, along with the associated treatment approach.
SQL: SELECT condition, approach, MIN(improvement) as min_improvement FROM african_improvements WHERE region = 'Africa' GROUP BY condition, approach;
Example 3:
Question: Identify the treatment approach with the most significant improvement in patient outcomes, along with the associated condition, for patients in Asia.
SQL: SELECT approach, condition, MAX(improvement) as max_improvement FROM treatments WHERE region = 'Asia' GROUP BY approach, condition;
Example 4:
Question: How many patients have received treatment for each mental health condition in the patient_conditions table, and what is the percentage of patients who have recovered?
SQL: SELECT condition, COUNT(*) AS total_patients, 100.0 * SUM(recovered AND received_treatment) / COUNT(*) AS recovery_percentage FROM patient_conditions GROUP BY condition;
Example 5:
Question: Identify the hospital in Canada with the highest number of mental health treatment sessions.
SQL: SELECT hospital_name, COUNT(session_id) AS session_count FROM therapy_sessions JOIN hospitals ON therapy_sessions.hospital_id = hospitals.hospital_id WHERE hospitals.country = 'Canada' GROUP BY hospital_name ORDER BY session_count DESC LIMIT 1;"
43136,fitness industry,"Workout data, membership demographics, wearable technology metrics, and wellness trends.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights",How many members have a Premium membership in the Running club?,"CREATE TABLE Members (MemberID INT, Age INT, Gender VARCHAR(10), MembershipType VARCHAR(20)); INSERT INTO Members (MemberID, Age, Gender, MembershipType) VALUES (1, 35, 'Female', 'Premium'), (2, 45, 'Male', 'Basic'), (3, 28, 'Female', 'Premium'), (4, 32, 'Male', 'Premium'), (5, 48, 'Female', 'Basic'); CREATE TABLE ClubMembership (MemberID INT, Club VARCHAR(20)); INSERT INTO ClubMembership (MemberID, Club) VALUES (1, 'Cycling'), (2, 'Yoga'), (3, 'Running'), (4, 'Pilates'), (5, 'Cycling');",SELECT COUNT(*) FROM Members JOIN ClubMembership ON Members.MemberID = ClubMembership.MemberID WHERE Members.MembershipType = 'Premium' AND ClubMembership.Club = 'Running';,We are joining the Members table with the ClubMembership table based on the MemberID. We then filter the records to only those where the MembershipType is 'Premium' and the Club is 'Running' and calculate the count of the records using the COUNT function.,"```sql
select count(*) 
from members 
join clubmembership 
on members.memberid = clubmembership.memberid 
where members.membershiptype = 'premium' 
and clubmembership.club = 'running';
```","Example 1:
Question: How many members have a Premium membership in the Running club?
SQL: SELECT COUNT(*) FROM Members JOIN ClubMembership ON Members.MemberID = ClubMembership.MemberID WHERE Members.MembershipType = 'Premium' AND ClubMembership.Club = 'Running';
Example 2:
Question: How many members have a gym membership and performed a Pilates workout in the last month?
SQL: SELECT COUNT(*) FROM Members INNER JOIN Workouts ON Members.MemberID = Workouts.MemberID WHERE Members.GymMembership = TRUE AND Workouts.WorkoutDate >= '2022-02-01' AND Workouts.WorkoutType = 'Pilates';
Example 3:
Question: How many members have a 'Basic' membership type and have attended a class in the past week?
SQL: SELECT COUNT(*) FROM Members JOIN ClassAttendance ON Members.MemberID = ClassAttendance.MemberID WHERE Members.MembershipType = 'Basic' AND ClassAttendance.Date >= DATEADD(week, -1, GETDATE());
Example 4:
Question: How many male members have a recorded weight measurement in the month of June?
SQL: SELECT COUNT(DISTINCT MemberId) FROM Measurements INNER JOIN Members ON Measurements.MemberId = Members.Id WHERE DATE_FORMAT(Date, '%Y-%m') = '2022-06' AND Gender = 'Male';
Example 5:
Question: How many members have a membership fee less than the average membership fee for their region?
SQL: SELECT COUNT(*) FROM memberships INNER JOIN (SELECT region, AVG(membership_fee) AS avg_fee FROM memberships GROUP BY region) AS regional_avg_fees ON memberships.region = regional_avg_fees.region WHERE memberships.membership_fee < regional_avg_fees.avg_fee;"
63108,agriculture,"Comprehensive data on agroecology, food justice, indigenous food systems, and urban agriculture.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights","List all the countries that have at least one urban agriculture program and their respective program names, excluding Canada?","CREATE TABLE countries (id INT, name VARCHAR(50)); CREATE TABLE urban_agriculture_programs (id INT, country_id INT, name VARCHAR(50)); INSERT INTO countries (id, name) VALUES (1, 'USA'), (2, 'Canada'), (3, 'Mexico'); INSERT INTO urban_agriculture_programs (id, country_id, name) VALUES (1, 1, 'GrowNYC'), (2, 3, 'Ciudad Verde'), (3, 1, 'Chicago Urban Agriculture'), (4, 2, 'Vancouver Urban Farming');","SELECT c.name, program_name FROM countries c JOIN urban_agriculture_programs p ON c.id = p.country_id WHERE c.name != 'Canada';","The SQL query uses the 'countries' and 'urban_agriculture_programs' tables to list all the countries that have at least one urban agriculture program and their respective program names, excluding Canada by using the WHERE clause with the inequality operator.","```sql
select 
    c.name, 
    p.program_name 
from 
    countries c 
join 
    urban_agriculture_programs p 
on 
    c.id = p.country_id 
where 
    c.name != 'canada';
```","Example 1:
Question: List all the countries that have at least one urban agriculture program and their respective program names, excluding Canada?
SQL: SELECT c.name, program_name FROM countries c JOIN urban_agriculture_programs p ON c.id = p.country_id WHERE c.name != 'Canada';
Example 2:
Question: List all the countries that have urban agriculture programs and their respective program names?
SQL: SELECT c.name, program_name FROM countries c JOIN urban_agriculture_programs p ON c.id = p.country_id;
Example 3:
Question: List the names of all researchers who have published at least one paper on Arctic wildlife conservation and their respective number of publications.
SQL: SELECT r.name, COUNT(p.title) as num_publications FROM Researchers r INNER JOIN Publications p ON r.name = p.author WHERE r.subject = 'Arctic wildlife conservation' GROUP BY r.name;
Example 4:
Question: List all the programs that have been funded by at least one donation, along with their total funding amounts and the number of individual donors.
SQL: SELECT Programs.ProgramName, SUM(Donations.DonationAmount) AS TotalFunding, COUNT(DISTINCT Donors.DonorID) AS DonorCount FROM Programs INNER JOIN Donations ON Programs.ProgramID = Donations.ProgramID INNER JOIN Donors ON Donations.DonorID = Donors.DonorID GROUP BY Programs.ProgramName;
Example 5:
Question: List the titles and authors of all publications in the Mathematics department that have at least one female author.
SQL: SELECT title, author FROM publications WHERE department = 'Mathematics' AND author IN (SELECT name FROM faculty WHERE gender = 'Female');"
58439,public safety,"Crime statistics, emergency response times, community policing metrics, and disaster preparedness data.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights","List all disaster relief centers and their corresponding capacities, sorted by capacity.","CREATE TABLE centers (id INT, name VARCHAR(255), capacity INT);CREATE VIEW center_types AS SELECT c.id, t.type FROM centers c JOIN center_types t ON c.type_id = t.id;","SELECT ct.name, ct.capacity FROM center_types ct ORDER BY ct.capacity DESC;",Join centers and center_types views on id. Sort the result by capacity in descending order.,"```sql
select 
    ct.name, 
    ct.capacity 
from 
    center_types ct 
order by 
    ct.capacity desc;
```","Example 1:
Question: List all disaster relief centers and their corresponding capacities, sorted by capacity.
SQL: SELECT ct.name, ct.capacity FROM center_types ct ORDER BY ct.capacity DESC;
Example 2:
Question: List all disaster preparedness workshops and their corresponding locations, sorted by date.
SQL: SELECT wl.name, l.location, w.date FROM workshop_locations wl INNER JOIN workshops w ON wl.id = w.id ORDER BY w.date;
Example 3:
Question: List all the vessels that entered the port of Oakland and their corresponding cargo types, sorted by the cargo type.
SQL: SELECT vessels.vessel_id, cargo.cargo_type FROM vessels JOIN port ON vessels.port_id = port.port_id JOIN cargo ON vessels.vessel_id = cargo.vessel_id WHERE port.port_name = 'Oakland' ORDER BY cargo.cargo_type;
Example 4:
Question: List all unique community development initiative codes and their corresponding start dates in the 'community_development' schema, sorted by start date in ascending order.
SQL: SELECT DISTINCT initiative_code, start_date FROM community_development.comm_dev_initiatives ORDER BY start_date ASC;
Example 5:
Question: List all unique chemical compounds and their corresponding environmental impact scores, sorted by scores in descending order.
SQL: SELECT compound, environmental_impact_score FROM chemical_compounds ORDER BY environmental_impact_score DESC;"
36109,transportation,"Transportation data on electric vehicle adoption, autonomous vehicles, public transportation systems, and multimodal mobility.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",List all public transportation systems in the public_transportation table,"CREATE TABLE public_transportation (id INT PRIMARY KEY, system_name VARCHAR(255), system_type VARCHAR(255), location VARCHAR(255), operating_hours TIMESTAMP);",SELECT system_name FROM public_transportation;,"The prompt requires listing all public transportation systems in the public_transportation table. The SQL statement selects the system_name column from the public_transportation table, which returns all the systems.","```sql
select system_name from public_transportation;
```","Example 1:
Question: List the operating hours of all public transportation systems in the public_transportation table
SQL: SELECT public_transportation.system_name, transportation_schedules.operating_hours FROM public_transportation JOIN transportation_schedules ON public_transportation.id = transportation_schedules.system_id WHERE transportation_schedules.schedule_type = 'Regular';
Example 2:
Question: List all public transportation systems in the public_transportation table
SQL: SELECT system_name FROM public_transportation;
Example 3:
Question: List all public transportation systems with more than 1000 vehicles in the 'public_transport' schema.
SQL: SELECT system_name FROM public_transport_systems WHERE num_vehicles > 1000;
Example 4:
Question: List the names and start dates of all public works projects in the Parks table
SQL: SELECT project_name, start_date FROM Parks;
Example 5:
Question: List all public transportation systems in Tokyo
SQL: SELECT * FROM public_transportation WHERE city = 'Tokyo';"
